id,date,count,created_at,updated_at
87,2025-09-17T00:00:00.000Z,1,2025-09-16T16:10:09.047Z,2025-09-16T16:10:09.047Z
88,2025-09-19T00:00:00.000Z,2,2025-09-19T11:46:17.444Z,2025-09-19T11:46:17.444Z
89,2025-09-20T00:00:00.000Z,4,2025-09-19T16:44:54.820Z,2025-09-19T16:44:54.820Z
90,2025-09-21T00:00:00.000Z,2,2025-09-20T15:24:06.373Z,2025-09-20T15:24:06.373Z
91,2025-09-22T00:00:00.000Z,2,2025-09-22T04:03:40.051Z,2025-09-22T04:03:40.051Z
92,2025-09-25T00:00:00.000Z,4,2025-09-24T15:01:48.284Z,2025-09-24T15:01:48.284Z
93,2025-09-28T00:00:00.000Z,1,2025-09-27T16:09:25.988Z,2025-09-27T16:09:25.988Z
94,2025-09-29T00:00:00.000Z,1,2025-09-28T16:19:28.740Z,2025-09-28T16:19:28.740Z
95,2025-09-30T00:00:00.000Z,3,2025-09-30T07:06:10.724Z,2025-09-30T07:06:10.724Z
96,2025-10-01T00:00:00.000Z,5,2025-09-30T15:32:31.303Z,2025-09-30T15:32:31.303Z
97,2025-10-02T00:00:00.000Z,1,2025-10-01T21:48:59.675Z,2025-10-01T21:48:59.675Z
98,2025-10-03T00:00:00.000Z,1,2025-10-02T16:06:48.631Z,2025-10-02T16:06:48.631Z
99,2025-10-09T00:00:00.000Z,1,2025-10-09T10:48:54.426Z,2025-10-09T10:48:54.426Z
100,2025-10-10T00:00:00.000Z,5,2025-10-10T03:30:16.429Z,2025-10-10T03:30:16.429Z
101,2025-10-13T00:00:00.000Z,1,2025-10-13T08:18:30.407Z,2025-10-13T08:18:30.407Z
102,2025-10-16T00:00:00.000Z,1,2025-10-15T17:07:50.054Z,2025-10-15T17:07:50.054Z
103,2025-10-18T00:00:00.000Z,1,2025-10-18T09:54:27.415Z,2025-10-18T09:54:27.415Z
104,2025-10-21T00:00:00.000Z,2,2025-10-21T01:06:34.512Z,2025-10-21T01:06:34.512Z
105,2025-10-22T00:00:00.000Z,5,2025-10-21T17:50:39.714Z,2025-10-21T17:50:39.714Z
106,2025-10-23T00:00:00.000Z,1,2025-10-22T21:17:41.345Z,2025-10-22T21:17:41.345Z
107,2025-10-24T00:00:00.000Z,1,2025-10-24T04:46:21.108Z,2025-10-24T04:46:21.108Z
108,2025-10-27T00:00:00.000Z,1,2025-10-27T06:29:08.556Z,2025-10-27T06:29:08.556Z
109,2025-10-29T00:00:00.000Z,2,2025-10-28T19:27:10.581Z,2025-10-28T19:27:10.581Z
110,2025-10-30T00:00:00.000Z,1,2025-10-30T03:15:40.375Z,2025-10-30T03:15:40.375Z
111,2025-11-01T00:00:00.000Z,2,2025-11-01T01:18:01.743Z,2025-11-01T01:18:01.743Z
112,2025-11-03T00:00:00.000Z,1,2025-11-02T15:10:54.245Z,2025-11-02T15:10:54.245Z
113,2025-11-05T00:00:00.000Z,1,2025-11-04T19:27:59.462Z,2025-11-04T19:27:59.462Z
114,2026-01-07T00:00:00.000Z,2,2026-01-07T10:39:33.796Z,2026-01-07T10:39:33.796Z
115,2026-01-10T00:00:00.000Z,3,2026-01-10T03:37:31.395Z,2026-01-10T03:37:31.395Z
116,2026-01-11T00:00:00.000Z,1,2026-01-11T13:07:11.930Z,2026-01-11T13:07:11.930Z
117,2026-01-13T00:00:00.000Z,1,2026-01-13T11:45:24.127Z,2026-01-13T11:45:24.127Z
